order_id,user_id,order_at,total_order_amount,master_item_count,subledger_item_count,order_reconciliation,order_item_count_recon,order_status_recon
62833,50205,2023-06-13 09:05:47.000000,7.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
20120,16075,2025-08-22 16:06:31.000000,227.11,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
105428,84508,2026-06-04 09:35:35.000000,7.9,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
117695,94251,2025-04-03 17:40:10.000000,125.98,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
29202,23340,2025-05-09 04:23:27.000000,7.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
25605,20441,2024-12-16 23:13:28.000000,68.0,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
78958,63107,2023-08-08 08:28:18.000000,146.85,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
26158,20895,2026-04-23 17:20:14.000000,122.34,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
35569,28392,2025-06-17 05:03:04.000000,8.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
76911,61497,2023-07-21 07:45:31.000000,524.03,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
54696,43689,2026-06-16 07:32:21.000000,228.49,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
67675,54142,2025-12-04 09:09:57.000000,138.28,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
22494,17957,2026-06-01 19:50:53.000000,98.69,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
62664,50068,2025-08-23 21:11:34.000000,9.95,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
105981,84932,2026-05-21 13:15:07.000000,189.43,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
118562,94916,2023-08-14 03:51:32.000000,59.94,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
73235,58582,2026-02-12 08:42:17.000000,9.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
37456,29908,2022-04-22 11:01:07.000000,9.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
100507,80595,2024-12-09 07:17:06.000000,128.95,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
69986,55978,2024-12-31 00:50:44.000000,10.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
95157,76269,2024-06-02 04:29:25.000000,176.85,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
14751,11767,2024-04-23 22:30:30.000000,35.69,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
35842,28595,2026-04-22 04:26:11.000000,10.69,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
38304,30574,2024-11-26 16:54:14.000000,10.97,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
6442,5109,2022-01-01 02:41:36.000000,106.09,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
68631,54913,2023-05-12 03:21:27.000000,286.22,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
12854,10206,2025-01-04 22:29:03.000000,11.25,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
36775,29356,2025-03-26 01:43:08.000000,11.86,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
111574,89365,2024-07-07 00:43:22.000000,11.95,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
90423,72362,2022-12-07 21:03:31.000000,39.94,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
96725,77553,2026-04-17 09:15:32.000000,80.99,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
51213,40910,2026-06-07 22:54:27.000000,93.98,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
70497,56380,2020-06-11 06:28:20.000000,46.99,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
96477,77354,2024-05-09 00:37:46.000000,11.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
106430,85315,2023-07-08 01:09:12.000000,61.96,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
23645,18892,2025-03-22 20:54:26.000000,230.0,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
44199,35258,2023-06-26 10:58:22.000000,361.98,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
38078,30403,2023-12-16 17:57:45.000000,160.94,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
96975,77729,2021-03-11 13:25:39.000000,57.13,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
40468,32314,2021-10-11 07:16:21.000000,32.19,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
12728,10111,2025-12-07 00:03:44.000000,12.9,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
69668,55712,2024-02-18 15:12:26.000000,37.99,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
66286,52990,2026-06-12 03:48:45.000000,13.01,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
99244,79576,2024-09-15 16:55:57.000000,33.74,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
73494,58781,2020-10-19 02:16:16.000000,13.75,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
69432,55535,2026-06-11 23:03:53.000000,173.11,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
42845,34186,2026-02-08 08:12:25.000000,342.87,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
56249,44940,2026-03-30 08:38:41.000000,71.91,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
68584,54880,2026-05-14 21:28:38.000000,324.93,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
99468,79776,2024-11-18 13:15:40.000000,248.98,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
3851,3051,2025-12-31 15:08:45.000000,123.18,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
100642,80693,2026-04-08 07:35:16.000000,156.19,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
115537,92495,2026-06-03 22:34:04.000000,54.39,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
48221,38522,2025-09-27 19:57:25.000000,263.24,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
90727,72608,2025-08-25 23:20:53.000000,14.67,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
18682,14885,2020-12-05 06:14:10.000000,145.83,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
16802,13382,2025-07-07 21:27:28.000000,46.95,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
50288,40189,2026-05-12 20:04:01.000000,42.14,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
74218,59355,2025-07-01 21:33:36.000000,112.96,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
12959,10294,2020-08-23 19:42:00.000000,14.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
87922,70352,2021-11-14 17:42:22.000000,134.47,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
109050,87368,2026-06-01 07:32:16.000000,152.99,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
27836,22252,2026-01-20 10:02:20.000000,112.26,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
6527,5175,2025-05-02 07:33:49.000000,119.33,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
96165,77086,2025-02-24 06:55:07.000000,14.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
37010,29548,2025-05-29 13:14:58.000000,15.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
76508,61174,2025-12-30 20:20:57.000000,69.68,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
111380,89204,2025-03-29 16:41:33.000000,142.75,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
1547,1214,2026-06-14 13:26:45.000000,15.9,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
110832,88763,2026-04-04 09:48:34.000000,15.9,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
95949,76916,2023-04-28 10:35:56.000000,15.95,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
97283,77970,2024-11-20 03:21:48.000000,125.99,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
22587,18033,2021-05-26 11:53:07.000000,45.94,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
93677,75067,2026-05-13 04:17:10.000000,140.55,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
16688,13281,2026-05-28 04:12:49.000000,269.59,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
68143,54534,2025-02-06 02:11:41.000000,15.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
25150,20091,2025-01-11 06:51:58.000000,16.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
97348,78029,2026-05-07 13:18:48.000000,178.74,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
63815,50998,2026-04-09 21:57:25.000000,16.95,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
15826,12624,2022-08-02 03:50:16.000000,51.94,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
121616,97361,2024-09-24 18:31:21.000000,43.5,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
103049,82631,2023-04-13 12:37:39.000000,274.31,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
53004,42315,2021-10-20 04:13:54.000000,17.56,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
91560,73300,2026-04-05 23:21:01.000000,17.9,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
62865,50230,2022-09-24 23:44:55.000000,269.93,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
35557,28382,2025-10-23 18:06:09.000000,266.98,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
59750,47727,2024-04-04 01:38:55.000000,188.99,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
118685,95009,2025-01-26 01:07:57.000000,51.97,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
51110,40828,2025-10-18 23:37:59.000000,46.0,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
73165,58517,2023-02-03 17:57:03.000000,18.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
80764,64604,2024-10-16 20:57:09.000000,293.53,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
56067,44805,2026-05-16 09:36:15.000000,183.76,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
28912,23104,2026-06-15 00:01:26.869511,232.05,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
112158,89809,2025-05-05 03:45:45.000000,273.4,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
38809,31004,2026-06-14 09:37:15.000000,18.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
38358,30611,2024-01-10 21:26:50.000000,19.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
43004,34311,2025-03-09 21:59:11.000000,78.95,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
82514,66015,2024-08-09 00:57:25.000000,194.0,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
14313,11409,2024-11-28 16:24:11.000000,120.49,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
73436,58737,2022-10-12 16:29:26.000000,167.95,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
82730,66195,2025-12-16 14:44:32.000000,19.97,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
99783,80040,2022-04-09 05:14:18.000000,305.47,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
1939,1552,2020-04-25 11:51:21.000000,128.97,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
35834,28590,2024-04-03 08:45:06.000000,386.47,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
87520,70041,2026-03-02 15:24:28.000000,68.0,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
66752,53373,2026-06-09 00:43:02.000000,475.92,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
40151,32059,2025-12-28 15:08:43.000000,20.8,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
30838,24617,2025-05-16 07:09:45.000000,65.88,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
123243,98688,2024-03-25 21:08:18.000000,20.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
123460,98861,2026-03-08 05:52:47.000000,109.79,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
80618,64472,2025-04-07 20:28:27.000000,21.9,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
94784,75985,2024-11-08 22:30:57.000000,106.79,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
68678,54949,2023-01-20 02:48:55.000000,22.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
52921,42235,2024-03-02 21:39:08.000000,22.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
36822,29394,2023-09-04 23:48:52.000000,264.66,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
82296,65863,2024-04-08 10:28:33.000000,234.71,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
22764,18185,2026-03-09 09:25:58.000000,56.99,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
52609,41981,2022-09-23 17:14:51.000000,22.45,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
60036,47956,2023-05-03 09:34:28.000000,47.95,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
66391,53082,2025-10-01 05:07:57.000000,22.97,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
56653,45264,2021-03-08 09:53:44.000000,47.98,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
16418,13079,2023-04-20 06:02:24.000000,129.47,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
75458,60347,2022-04-08 14:13:40.000000,50.9,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
87881,70326,2025-02-15 07:36:25.000000,72.99,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
88639,70918,2026-03-25 06:55:27.000000,23.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
115904,92793,2023-12-10 10:54:56.000000,23.7,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
62497,49930,2025-12-03 15:01:56.000000,111.98,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
2547,2034,2020-06-28 16:42:49.000000,111.44,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
14109,11230,2026-01-02 01:15:58.000000,521.47,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
100544,80619,2025-12-15 09:34:49.000000,24.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
17267,13732,2022-10-21 04:18:05.000000,125.74,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
42473,33892,2024-12-03 23:53:06.000000,65.41,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
58112,46442,2023-11-16 04:25:20.000000,106.33,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
90395,72337,2022-09-07 11:01:26.000000,24.95,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
26549,21215,2023-02-23 08:07:25.000000,24.98,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
75484,60371,2022-04-06 23:26:04.000000,200.23,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
103597,83063,2026-02-21 20:17:13.000000,24.99,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
109882,88026,2024-03-14 18:24:45.000000,181.15,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
52278,41733,2020-06-19 10:53:00.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
65594,52390,2025-03-04 12:25:38.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
91526,73276,2022-10-29 22:01:16.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
906,728,2020-03-27 17:20:33.000000,132.5,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
11047,8807,2020-06-14 15:31:19.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
27140,21701,2020-09-11 00:01:25.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
33156,26457,2021-06-11 03:30:19.000000,223.57,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
99398,79712,2026-06-01 16:23:54.000000,212.0,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
113240,90659,2024-01-15 19:22:40.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
117445,94049,2024-12-20 00:22:16.000000,193.26,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
23996,19171,2023-03-15 17:30:41.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
63180,50485,2024-11-28 13:11:01.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
95465,76512,2025-08-15 02:20:35.000000,144.23,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
107765,86351,2023-02-27 14:22:12.000000,304.99,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
98563,79031,2024-11-15 17:11:13.000000,74.5,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
20428,16332,2025-09-07 11:52:31.000000,340.47,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
81437,65155,2026-01-29 17:56:46.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
85982,68842,2025-01-28 15:53:24.000000,212.4,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
87128,69736,2026-06-01 05:28:02.000000,25.0,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
116007,92875,2024-05-12 18:49:53.000000,107.99,3,3,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
109515,87739,2026-05-18 20:45:27.000000,105.25,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
16653,13260,2026-03-04 08:13:47.000000,89.67,2,2,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
64026,51164,2025-08-28 13:27:17.000000,25.5,1,1,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
109923,88062,2026-02-02 16:10:32.000000,194.55,4,4,RECONCILIATION SUCCESSFUL,INTEGRITY VERIFIED,INTEGRITY VERIFIED
